Name,Jagged Mean,Jagged Std Dev,Jmax,Jmin,Jrange,Stanza Mean,Stanza Std Dev,Smax,Smin,Srange,Margin Mean,Margin Std Dev,Mmax,Mmin,Mrange,Length Mean,Length Std Dev,Lmax,Lmin,Lrange
wheeling_daily_intelligencer_18650802_1_clean_false.jpg,32.2023809524,45.1117852644,1382,1314,0,15.6854219949,18.2291682533,99,1,98,33.2658730159,43.3727588771,144,0,144,46.0862068966,66.1562253356,144,0,144
wheeling_daily_intelligencer_18740101_3_clean_false.jpg,66.9204545455,57.7431561622,1792,1346,0,15.130044843,13.6742852784,118,2,116,40.1742424242,62.3724424388,144,0,144,82.5208333333,66.9298924213,137,0,137
wheeling_daily_intelligencer_18740101_3_clean_true.jpg,61.7777777778,32.2674422706,1224,1132,0,12.8614958449,14.3888494448,124,5,119,20.8452380952,30.8166509909,144,0,144,5.1163793103,24.7676335007,144,0,144
wheeling_daily_intelligencer_18740102_4_clean_false.jpg,40.0912698413,42.3606050993,1502,1408,0,13.8110964333,8.1687928568,62,5,57,28.7976190476,42.2125001061,144,0,144,30.8663793103,55.3171923738,144,0,144
wheeling_daily_intelligencer_18740115_3_clean_true.jpg,29.9126984127,47.0753272718,1792,2184,0,8.5539383562,5.7661775018,54,5,49,32.2857142857,49.6338439427,144,0,144,59.6939655172,72.5104799384,144,0,144
wheeling_daily_intelligencer_18740115_3_false.jpg,25.4325396825,45.9034165423,1314,1444,0,11.3553875236,9.5231473195,44,1,43,23.9880952381,47.9621377606,144,0,144,105.5603448276,73.7102971845,144,0,144
wheeling_daily_intelligencer_18830627_3_clean_false.jpg,25.3531746032,55.5793359778,290,288,0,0,0,-2147483648,2147483647,1,24.6666666667,54.9458608,144,0,144,141.4827586207,68.8515399161,144,0,144
wheeling_daily_intelligencer_18830627_3_true.jpg,76.5,57.7592842808,3024,3408,0,11.3615520282,13.9024620556,218,4,214,59.5555555556,66.3959184696,144,0,144,0,0,0,0,0
wheeling_daily_intelligencer_18830628_2_clean_false.jpg,37.6071428571,56.154859792,1836,1106,0,13.2880562061,8.502316682,40,4,36,40.25,57.7782947932,144,0,144,85.5086206897,75.7636922154,144,0,144
wheeling_daily_intelligencer_18880703_3_false.jpg,33.9484126984,62.726925798,2030,2016,0,9.4,4.317406629,18,7,11,33.7142857143,62.2943263097,144,0,144,110.4827586207,78.2414498694,144,0,144
wheeling_daily_intelligencer_18881002_3_clean_false.jpg,32.9285714286,46.408006958,1640,1580,0,15.0737327189,6.9508324634,31,5,26,24.6547619048,42.7692139375,144,0,144,91.7931034483,76.0514812073,144,0,144
wheeling_daily_intelligencer_18881009_4_clean_true.jpg,65.5436507937,52.0904831503,2200,2224,0,13.9281705948,15.659372287,129,6,123,45.7142857143,59.6844241211,144,0,144,23.2931034483,47.3125337595,144,0,144
wheeling_daily_intelligencer_18881009_4_false.jpg,20.3611111111,25.4184685804,950,832,0,13.2782101167,8.1016422356,46,5,41,16.623015873,23.4918826026,144,0,144,59.6853448276,70.5819092973,144,0,144
white_cloud_kansas_chief_18681119_true.jpg,61.9801587302,48.9003012105,1744,2002,0,18.7862714509,27.5745399988,142,5,137,36.7103174603,56.4853246802,144,0,144,3.724137931,22.0006331271,144,0,144
